date,timestamp,name,url,device_mode,grade,score,fcp,lcp,cls,inp,ttfb,tbt,tti,speed_index,performance_score,accessibility_score,best_practices_score,seo_score,core_web_vitals_score
2025-07-07,2025-07-07T18:06:47.312191,https://www.google.com,https://www.google.com,desktop,A,100.0,0.8932709999999999,2.0761529999999992,0,,0.211616,0,2.0761529999999992,1.0229441905493857,89.0,99.0,96.0,92.0,100.0
2025-07-07,2025-07-07T18:08:06.893179,https://www.google.com,https://www.google.com,desktop,A,100.0,0.863712,1.9226319999999997,0,,0.1654209999999999,0,1.922632,0.863712,90.0,99.0,96.0,92.0,100.0
2025-07-07,2025-07-07T23:57:13.247869,https://www.google.com,https://www.google.com,desktop,A,100.0,1.2658802500000002,2.0090405,0,31.5,0.1346559999999999,0,2.0090405000000007,1.646523911862371,85.0,99.0,96.0,92.0,100.0
2025-07-08,2025-07-08T02:02:21.522828,https://www.google.com,https://www.google.com,desktop,A,100.0,0.8120205,1.8992590000000003,0,42.0,0.132579,0,1.8992590000000005,0.8120205,91.0,99.0,96.0,92.0,100.0
